Publisher,Time,Author,Language,Title
HarperSanFrancisco; 1st edition,"May 18, 2010",Melody Beattie,English,Journey to the Heart: Daily Meditations on the Path to Freeing Your Soul
Thomas Nelson; 1st Printing edition,"August 6, 2006",Rick Rigsby,English,Lessons From a Third Grade Dropout
HarperOne,"May 8, 2018",Amy Myers M.D.,English,The Autoimmune Solution Cookbook: Over 150 Delicious Recipes to Prevent and Reverse the Full Spectrum of Inflammatory Symptoms and Diseases
Victory Belt Publishing; 1 edition,,Sarah Ballantyne,English,The Paleo Approach: Reverse Autoimmune Disease and Heal Your Body
Mango; Workbook edition,"January 2, 2018",Cassandra Aarssen,English,Cluttered Mess to Organized Success Workbook: Declutter and Organize your Home and Life with over 100 Checklists and Worksheets (Plus Free Full Downloads)
Sounds True; Gjr edition,"September 19, 2017",Elena Brower,English,Practice You: A Journal
Bantam,"March 1, 1992",Thich Nhat Hanh,English,Peace Is Every Step: The Path of Mindfulness in Everyday Life
Touchstone,"January 3, 2017",John Yates,English,The Mind Illuminated: A Complete Meditation Guide Integrating Buddhist Wisdom and Brain Science for Greater Mindfulness
Harper Wave; Reprint edition,"December 26, 2017",Dr. Josh Axe,English,Eat Dirt: Why Leaky Gut May Be the Root Cause of Your Health Problems and 5 Surprising Steps to Cure It
Avery; Reprint edition,"January 6, 2015",Thomas Moore,English,A Religion of One's Own: A Guide to Creating a Personal Spirituality in a Secular World
"Little, Brown and Company","November 15, 2016",Kristin Loberg,English,"The Grain Brain Whole Life Plan: Boost Brain Performance, Lose Weight, and Achieve Optimal Health"
Brooks Cole; 10 edition,,Gerald Corey,English,Theory and Practice of Counseling and Psychotherapy
McGraw-Hill Education; 1st edition,"October 10, 2003",Leil Lowndes,English,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships
Sasquatch Books; Jou edition,"September 8, 2015",Moorea Seal,English,The 52 Lists Project: A Year of Weekly Journaling Inspiration
Victory Belt Publishing; Original edition,"April 2, 2013",Kellie Davis,English,Strong Curves: A Woman's Guide to Building a Better Butt and Body
HCI; 13544th edition,"April 1, 2007",Jennifer Waldburger,English,The Sleepeasy Solution: The Exhausted Parent's Guide to Getting Your Child to Sleep from Birth to Age 5
Random House Trade Paperbacks; 2 edition,"May 11, 2010",Nassim Nicholas Taleb,English,"The Black Swan: Second Edition: The Impact of the Highly Improbable: With a new section: ""On Robustness and Fragility"" (Incerto)"
Llewellyn Publications; 1st edition,,Anodea Judith,English,Wheels of Life: A User's Guide to the Chakra System (Llewellyn's New Age Series)
"Farrar, Straus and Giroux; 4 edition","September 25, 2012",Richard Williams,English,"The Animator's Survival Kit: A Manual of Methods, Principles and Formulas for Classical, Computer, Games, Stop Motion and Internet Animators"
CreateSpace Independent Publishing Platform,"December 6, 2017",Anthony Allen,English,"Viagra: Uses, Dosage, Side Effects Information and where to buy generic viagra, cialis (sildenafil) and other best drugs cheap and safely online"
Gallup Press; unknown edition,"April 1, 2009",Tom Rath,English,How Full Is Your Bucket? For Kids
Ulysses Press,"September 13, 2016",Annie Brock,English,The Growth Mindset Coach: A Teacher's Month-by-Month Handbook for Empowering Students to Achieve
Hazelden Publishing; Workbook edition,"February 28, 2011",Melody Beattie,English,Codependent No More Workbook
The Guilford Press; 1 edition,"December 17, 2012",Richard Guare,English,"Smart but Scattered Teens: The ""Executive Skills"" Program for Helping Teens Reach Their Potential"
The Aasgaard Company; 3 edition,"January 14, 2014",Mark Rippetoe,English,Practical Programming for Strength Training
CreateSpace Independent Publishing Platform,"September 4, 2017",Sarah Harnisch,English,Fearless: Confidence with Essential Oils in 2 Hours
Spiegel &amp; Grau; 1 edition,"September 20, 2016",Sadhguru,English,Inner Engineering: A Yogi's Guide to Joy
HarperOne; F First Edition edition,"June 10, 2014",Noah Levine,English,Refuge Recovery: A Buddhist Path to Recovering from Addiction
Skyhorse Publishing; F First American Edition edition,"April 22, 2014",Farnoosh Brock,English,"The Healthy Smoothie Bible: Lose Weight, Detoxify, Fight Disease, and Live Long"
Bantam; 1 edition,"April 28, 2009",Daniel Coyle,English,The Talent Code: Greatness Isn't Born. It's Grown. Here's How.
Grand Central Life &amp; Style; Reprint edition,"December 30, 2014",Marla Heller,English,The DASH Diet Action Plan: Proven to Lower Blood Pressure and Cholesterol without Medication (A DASH Diet Book)
Simon &amp; Schuster; Reprint edition,"January 6, 2015",Nina Teicholz,English,"The Big Fat Surprise: Why Butter, Meat and Cheese Belong in a Healthy Diet"
"Basic Books; Revised, Anniversary, Updated edition","September 5, 2017",Beverly Daniel Tatum,English,Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conversations About Race
Victory Belt Publishing; 1 edition,"July 11, 2017",Maria Emmerich,English,"Keto Restaurant Favorites: More Than 175 Tasty Classic Recipes Made Fast, Fresh, and Healthy"
CreateSpace Independent Publishing Platform,"January 15, 2017",Jamie Ken Moore,English,Ketogenic Diet : The Step by Step Guide For Beginners: Ketogenic Diet for Beginners : Optimal Path for Weight Loss
TCKPublishing.com,"March 28, 2016",Kevin Horsley,English,"Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster, Remember More and be More Productive"
Berkley Books; Reprint edition,"September 2, 2003",Lundy Bancroft,English,Why Does He Do That?: Inside the Minds of Angry and Controlling Men
Lomhara Press; 1 edition,"July 10, 2017",Alexis Dubief,English,Precious Little Sleep: The Complete Baby Sleep Guide for Modern Parents
Sounds True,"January 1, 2018",Joel K. Kahn MD,English,The Plant-Based Solution: America's Healthy Heart Doc's Plan to Power Your Health
Zondervan,"November 21, 2017",Candace Cameron Bure,English,"Staying Stylish: Cultivating a Confident Look, Style, and Attitude"
Berrett-Koehler Publishers; 1 edition,"May 4, 2009",Laura van Dernoot Lipsky,English,Trauma Stewardship: An Everyday Guide to Caring for Self While Caring for Others
Touchstone,,Stephen R. Covey,English,The 7 Habits of Highly Effective People Personal Workbook
Chelsea Green Publishing; Later prt. edition,"May 14, 2012",Sandor Ellix Katz,English,The Art of Fermentation: An In-Depth Exploration of Essential Concepts and Processes from around the World
Destiny Image; Reprint edition,"February 20, 2018",Dr. Josh Axe,English,Essential Oils: Ancient Medicine
"Little, Brown and Company","December 29, 2015",Sarah Knight,English,The Life-Changing Magic of Not Giving a F*ck: How to Stop Spending Time You Don't Have with People You Don't Like Doing Things You Don't Want to Do (A No F*cks Given Guide)
Workman Publishing Company; Reprint edition,"September 25, 2007",Chris Crowley,English,"Younger Next Year: Live Strong, Fit, and Sexy - Until You're 80 and Beyond"
Vintage; 1 edition,"January 14, 1997",Kay Redfield Jamison,English,An Unquiet Mind: A Memoir of Moods and Madness
Vintage; Reprint edition,"February 28, 2017",Hope Jahren,English,Lab Girl
