Publisher,Time,Author,Title,ID
Harper Paperbacks; 1st edition,2009/6/9,Garth Stein,The Art of Racing in the Rain: A Novel,187
Scribner; 1st edition,3/21/17,Lisa See,The Tea Girl of Hummingbird Lane: A Novel,188
Signet; 50th Anniversary edition,2004/4/6,George Orwell,Animal farm: A Fairy Story,189
Grove Press; 1st Edition edition,2/13/18,Akwaeke Emezi,Freshwater,190
Anchor; Reprint edition,1/26/16,Hanya Yanagihara,A Little Life,191
Seventh Street Books; First Paperback Edition edition,10/14/14,Allen Eskens,The Life We Bury,192
Viking,04/18/09,Craig Johnson,Depth of Winter: A Longmire Mystery,193
Gallery/Scout Press; Reprint edition,06/18/03,Ruth Ware,The Lying Game: A Novel,194
Grand Central Publishing; 1 edition,1/16/18,Douglas Preston,City of Endless Night (Agent Pendergast series),195
Ballantine Books,1/23/18,Karen Cleveland,Need to Know: A Novel,196
Del Rey; First Edition edition,9/27/95,Douglas Adams,The Hitchhiker's Guide to the Galaxy,197
Washington Square Press; Reprint edition,05/16/04,Fredrik Backman,My Grandmother Asked Me to Tell You She's Sorry,198
Broadway Books; Reprint edition,10/28/14,Andy Weir,The Martian,199
Vintage,4/3/91,Sandra Cisneros,The House on Mango Street,200
Brawtley Press,06/15/07,Sam Greenlee,The Spook Who Sat By The Door,201
Mariner Books; 1st edition,6/29/00,Antoine de Saint-Exupéry,The Little Prince,202
Viking; 1st Edition edition,12/17/09,Ken Follett,A Column of Fire (Kingsbridge),203
Delacorte Press; 1st Edition edition,07/17/11,Lee Child,The Midnight Line: A Jack Reacher Novel,204
Scribner; First Edition edition,9/26/17,Stephen King,Sleeping Beauties: A Novel,205
MTV Books; Media Tie-In edition,8/14/12,Stephen Chbosky,The Perks of Being a Wallflower,206
Harper,1/23/18,Alafair Burke,The Wife: A Novel of Psychological Suspense,207
Ballantine Books; Reissue edition,3/12/87,A W. Wheen,All Quiet on the Western Front,208
Image Comics; 3 edition,10/13/15,Robert Kirkman,The Walking Dead: Compendium Three,209
Scribner; Reissue edition,5/5/95,Ernest Hemingway,The Old Man and The Sea,210
Penguin Classics; Reissue edition,3/28/06,John Steinbeck,The Grapes of Wrath,211
Vintage Books,3/28/07,Cormac McCarthy,The Road,212
NYRB Classics; Translation edition,06/18/03,Alfred Doblin,Berlin Alexanderplatz (New York Review Books Classics),213
Random House Trade Paperbacks; Reprint edition,6/26/17,Imbolo Mbue,Behold the Dreamers (Oprah's Book Club): A Novel,214
Simon &amp; Schuster; Anniversary edition,2011/4/5,Joseph Heller,Catch-22: 50th Anniversary Edition,215
Mulholland Books,2/20/18,Walter Mosley,Down the River unto the Sea,216
Del Rey; Reprint edition,7/15/14,Pierce Brown,Red Rising,217
Vintage Books; 2nd edition,3/14/95,Ralph Ellison,Invisible Man,218
Orbit,04/15/08,N. K. Jemisin,The Fifth Season (The Broken Earth),219
Europa Editions; 1st edition,9/25/12,Elena Ferrante,"My Brilliant Friend: Neapolitan Novels, Book One",220
Simon &amp; Schuster; Reprint edition,1/31/17,Megan Miranda,All the Missing Girls: A Novel,221
Back Bay Books; Anniversary edition,11/13/06,David Foster Wallace,Infinite Jest,222
Bantam; Later Printing edition,10/28/14,George R. R. Martin,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,223
Andrews McMeel Publishing,06/18/03,Amanda Lovelace,the witch doesn't burn in this one,224
Random House; First Edition edition,4/12/58,Dr. Seuss,Yertle the Turtle and Other Stories,225
Del Rey,5/28/96,Philip K. Dick,Do Androids Dream of Electric Sheep?: The inspiration for the films Blade Runner and Blade Runner 2049,226
Viking Books for Young Readers; New edition edition,10/1/92,Jon Scieszka,The Stinky Cheese Man and Other Fairly Stupid Tales,227
Pantheon,06/18/11,Alexander McCall Smith,The Colors of All the Cattle: No. 1 Ladies' Detective Agency (19) (No. 1 Ladies' Detective Agency Series),228
MIRA,06/18/03,Jude Deveraux,As You Wish (A Summerhouse Novel),229
"Vintage; Reprint, Reissue edition",11/29/04,Lorraine Hansberry,A Raisin in the Sun,230
St. Martin's Press,3/27/18,Jessica Strawser,Not That I Could Tell: A Novel,231
Ace Books; 1st edition,3/15/87,Ursula K. Le Guin,The Left Hand of Darkness,232
William Morrow Paperbacks,01/16/03,Stephanie Dray,America's First Daughter: A Novel,233
Berkley,1/30/18,Jasmine Guillory,The Wedding Date,234
Penguin Classics; Reprint edition,11/1/97,Homer,The Odyssey,235
Princeton Review; Csm edition,01/17/08,Princeton Review,"Cracking the AP English Literature & Composition Exam, 2018 Edition: Proven Techniques to Help You Score a 5 (College Test Preparation)",236
Graywolf Press; 1 edition,07/14/10,Claudia Rankine,Citizen: An American Lyric,237
"Del Rey; 1st, First American Edition, Cover Torn edition",2004/3/2,Richard K. Morgan,Broken Angels: A Novel (Takeshi Kovacs),238
Riverhead Books; Reprint edition,11/25/08,Khaled Hosseini,A Thousand Splendid Suns,239
Knopf,11/13/18,Haruki Murakami,Killing Commendatore: A novel,240
Back Bay Books,07/15/04,Donna Tartt,The Goldfinch: A Novel (Pulitzer Prize for Fiction),241
William Morrow,02/13/04,Christina Baker Kline,Orphan Train,242
Image Comics; First Paperback Edition edition,10/16/12,Robert Kirkman,The Walking Dead: Compendium Two,243
Knopf; 1st edition,10/27/15,Cheryl Strayed,Brave Enough,244
Chronicle Books,8/19/14,Lea Redmond,Letters to My Baby: Write Now. Read Later. Treasure Forever.,245
DAW Books,2008/4/1,Patrick Rothfuss,The Name of the Wind,246
"Little, Brown and Company; Large Print edition",3/26/18,James Patterson,Red Alert: An NYPD Red Mystery,247
Back Bay Books; Reprint edition,02/13/04,Maria Semple,"Where'd You Go, Bernadette: A Novel",248
G.P. Putnam's Sons,10/18/04,Stuart Woods,Shoot First (A Stone Barrington Novel),249
Penguin Classics; Reissue edition,10/1/92,John Steinbeck,East of Eden (Penguin Twentieth Century Classics),250
Lake Union Publishing,01/18/02,Eoin Dempsey,"White Rose, Black Forest",251
HarperTorch; 1st edition,4/25/06,Robert M Pirsig,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,252
Minotaur Books,06/18/03,Phillip Margolin,The Third Victim: A Novel,253
Simon &amp; Schuster; 1 edition,2003/7/1,William Shakespeare,Hamlet ( Folger Library Shakespeare),254
Mariner Books; 1 edition,,Alice Walker,The Color Purple,255
Vintage Books; 1 edition,2012/4/3,E L James,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),256
Penguin Books; Reprint edition,09/15/06,Lev Grossman,The Magicians Trilogy Boxed Set: The Magicians; The Magician King; The Magician's Land,257
Vintage; 1st edition,3/6/91,Bret Easton Ellis,American Psycho,258
Orbit,01/15/12,Andrzej Sapkowski,Sword of Destiny (The Witcher),259
Anchor; Reissue edition,6/26/12,Stephen King,The Shining,260
Ballantine Books,10/18/04,J.R. Ward,The Thief: A Novel of the Black Dagger Brotherhood,261
Harper,10/16/18,Mitch Albom,The Next Person You Meet in Heaven: The Sequel to The Five People You Meet in Heaven,262
Howard Books,5/29/18,Karen Kingsbury,To the Moon and Back: A Novel (Baxter Family),263
Ace,05/18/06,Jim Butcher,Brief Cases (Dresden Files),264
Touchstone; Revised edition,,Charles Van Doren,How to Read a Book: The Classic Guide to Intelligent Reading,265
Touchstone,3/20/18,J.A. Jance,Duel to the Death (Ali Reynolds),266
Greyson Media Associates,04/17/11,Christopher Greyson,The Girl Who Lived: A Thrilling Suspense Novel,267
"Warner Books, Inc.",11/1/97,James Redfield,The Celestine Prophecy: An Adventure,268
CreateSpace Independent Publishing Platform,11/23/17,Marcus Aurelius,Meditations,269
CreateSpace Independent Publishing Platform,9/29/17,Aldous Huxley,Brave New World,270
William Morrow Paperbacks; Reprint edition,11/28/17,Ruth Hogan,The Keeper of Lost Things: A Novel,271
Ace,06/18/03,Anne Bishop,"Lake Silence (World of the Others, The)",272
Bantam Classics; Reprint edition,,Mark Twain,The Adventures of Huckleberry Finn (Bantam Classic),273
Image Comics,11/18/09,Robert Kirkman,The Walking Dead Volume 30: New World Order,274
Berkley; a edition,05/13/03,Jenny Lawson,Let's Pretend This Never Happened: A Mostly True Memoir,275
Beacon Press,2004/2/1,Octavia E. Butler,Kindred,276
Dutton,9/25/18,Hank Green,An Absolutely Remarkable Thing: A Novel,277
Delacorte Press,1/30/18,Alan Bradley,The Grave's a Fine and Private Place: A Flavia de Luce Novel,278
Harper Perennial Modern Classics; 1 edition,,Sylvia Plath,The Bell Jar (Modern Classics),279
HarperCollins Publishers Ltd,1/1/00,Dr. Seuss,The Wonderful World of Dr. Seuss 20 Reading Books Collection Gift Box Set,280
CreateSpace Independent Publishing Platform; 1 edition,,Renaada Williams,becoming.,281
"Bantam; Media Tie In, Reprint edition",3/22/11,George R. R. Martin,"A Game of Thrones (A Song of Ice and Fire, Book 1)",282
Riverhead Books; 1st Edition edition,02/17/05,Paula Hawkins,Into the Water: A Novel,283
"Little, Brown and Company; 1st Edition edition",10/31/17,Michael Connelly,Two Kinds of Truth (A Harry Bosch Novel),284
"Little, Brown and Company",2/13/18,Caitlin Macy,Mrs.: A Novel,285
Simon &amp; Schuster; 1st Edition edition,02/18/01,James Lee Burke,Robicheaux: A Novel,286
Penguin Books; 1 edition,7/28/83,Benjamin Hoff,The Tao of Pooh,287
Passionista Publishing,11/16/09,Cara Alwill Leyba,Stripped: A Collection of Inspired Writings for the Evolving Woman,288
St. Martin's Griffin,7/25/17,Ashley & JaQuavis,The Cartel 7: Illuminati: Roundtable of Bosses,289
HarperCollins; Reprint edition,7/8/94,C. S. Lewis,"The Lion, the Witch and the Wardrobe (The Chronicles of Narnia)",290
Forge Books; Media Tie In edition,06/16/12,W. Bruce Cameron,A Dog's Purpose: A Novel for Humans,291
