,X,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,cluster_kmeans,cluster_pam
4600,4600,-0.269145208,-0.052438361,0.807981754,-0.232441979,0.075423236,-0.005397903,0.409731815,0.318189802,-0.693494619,0.276380879,0.152338244,-0.665044496,0.188202637,0.217376634,0.28851256,-0.395784462,0.799007148,0.008687208,0.157178808,-0.035473024,-0.018235499,-0.568848975,-0.355423066,0.379908537,-0.195961102,-0.323158372,-0.243788473,0.213514041,0.221298524,0.386796811,0.105757475,-0.112261802,0.572401163,0.024784447,-0.242437808,0.366645751,-0.028500176,0.257482788,0.540022301,-0.106636947,-0.259042149,-0.431554402,0.146162724,0.021798452,-0.044050841,0.075049725,-0.439008382,0.370591333,-0.032912393,-0.282388066,2,4
4601,4601,0.081846558,0.017968114,-0.100558746,0.08825952,-0.081941099,0.157764882,0.194602711,0.135216711,0.268185415,-0.252970531,-0.221028261,-0.317877337,-0.019531225,-0.193361409,-0.140522489,0.095080971,0.194957479,0.341825687,-0.391257253,-0.320032979,-0.529553132,-0.267648577,0.094621933,0.355067879,0.008085862,0.047665133,-0.002967601,-0.590196458,-0.128703489,0.149602346,-0.043336019,0.128287044,0.233251162,0.040644644,-0.067656445,-0.298857662,0.160998307,-0.177884453,0.149706077,-0.331815827,-0.042740951,-0.082103166,-0.312412346,0.057121994,-0.223063863,0.292736379,0.010165991,0.134908413,0.105952697,-0.311769324,2,4
4602,4602,-0.012216049,-0.251376439,0.100978687,-0.166128658,0.124721197,0.004812712,-0.19123801,0.03273538,-0.600067978,0.364369321,0.284243916,-0.109240098,-0.286201098,0.460644117,-0.190680453,0.202670034,-0.239197379,-0.143072437,0.45778577,0.086851738,0.056348631,-0.127084092,-0.013563757,-0.325161296,0.016501676,-0.284087031,0.02302423,-0.005112308,-0.326124077,0.051599046,-0.324290987,-0.101673905,-0.554024576,-0.206725339,-0.03842027,0.46347505,0.535813379,-0.324061877,0.321584506,-0.095736073,0.040779199,-0.196363181,0.363456847,0.052248125,0.042736052,-0.158441764,-0.311975551,-0.101713623,0.180227473,0.196564257,2,4
4603,4603,0.236198798,-0.12630274,-0.150597297,-0.023319647,-0.212866694,-0.145462296,-0.190437024,-0.350550857,0.180177011,-0.069400135,-0.206044383,-0.107378022,-0.019904283,0.068349581,0.11110657,-0.04201417,-0.150041503,0.081061851,0.099446902,-0.271284373,-0.341442955,-0.061995405,-0.293066574,0.268854453,-0.208104975,-0.299792516,-0.287863519,-0.32645729,-0.261261747,-0.151425711,-0.108150896,0.117275969,0.093726569,0.017100723,-0.076689824,-0.07572308,0.307719859,0.239309564,-0.009924677,0.238305288,-0.245426491,-0.350134672,-0.160554789,0.222025673,-0.240887415,0.234082167,-0.16679518,0.060652073,0.038745403,0.273234557,2,4
4604,4604,-0.233303871,-0.212605215,-0.068733459,-0.060093835,0.006514496,0.010044961,-0.03306612,0.136717641,0.092498972,-0.00429372,-0.449441978,-0.10916168,0.046668836,-0.208496508,0.013790237,-0.056726456,0.041275339,0.27470209,-0.184326036,-0.234707314,-0.487720671,-0.380972337,-0.149827365,0.359229016,-0.133419303,0.007467779,0.02238051,-0.296107306,-0.127898709,-0.005174002,-0.01772858,0.206560675,0.314503562,0.323182581,-0.007808989,-0.300799186,-0.058357237,0.022585746,0.104876033,-0.205993812,-0.393479692,-0.365632557,-0.045952834,-0.169975429,-0.188514484,0.214019807,-0.26391007,0.1305921,-0.129802601,0.080482982,2,4
4605,4605,-0.622161767,-0.109565572,0.053591162,-0.048222834,0.023467157,0.444013753,0.211448501,0.620660383,-0.375274363,0.590284983,-0.641611263,-0.345413647,0.719479853,-0.235920844,-0.135982898,-0.193646142,0.494743975,0.671620106,-0.43723668,-0.581709041,-0.286318035,-0.951043434,-0.34351965,0.48542842,-0.376631949,-0.297802614,-0.400711868,-0.265865227,0.18125036,0.243193256,-0.003040008,-0.07335335,0.791016627,0.054797069,0.215670481,0.190488295,0.039480539,0.545244555,0.434615937,-0.177453297,-0.678888267,-0.623803904,-0.025711261,0.412426051,0.015084997,0.413285876,-0.327889867,0.66651816,0.087635204,-0.317154207,2,4
4606,4606,0.157871272,-0.16039425,-0.309584718,-0.121279426,-0.197551615,0.129647559,0.080097686,0.245635529,-0.297748384,0.010096799,-0.317683633,-0.415185841,-0.123593532,-0.193616595,0.206852058,0.28069791,0.064870945,0.5136123,-0.351564362,-0.59698242,-0.113955124,-0.312244239,0.043029937,0.661821777,0.145420738,-0.567703303,-0.680151582,-0.329455371,0.204135283,0.089842214,0.511165571,0.553915422,0.429986878,-0.313480704,-0.09587892,-0.248651415,0.024094074,0.370396025,0.485206724,-0.113513162,-0.21753878,-0.572022179,-0.670270388,0.112213296,-0.231671771,0.243443652,-0.133944328,0.188521604,0.137298207,-0.194564844,2,4
4607,4607,-0.346117351,-0.422710011,-0.528834977,0.11178266,-0.010206808,-0.176260078,-0.676196247,-0.062343205,-0.429162582,0.102316812,-0.149224645,-0.306334564,-0.660621551,-0.152744765,-0.097868798,0.099182067,0.090963498,-0.331504166,-0.057719655,-0.438068524,-0.210303888,-0.234565273,-0.272579864,0.591278399,-0.007388698,0.301506313,-0.510357777,0.211379675,-0.005602813,-0.21863211,0.305967381,0.342549764,0.415939815,0.322871032,-0.280907112,-0.040886015,-0.01080237,0.328768447,0.279444536,0.274017284,-0.097517802,-0.177639663,-0.067536563,-0.190390341,-0.292069284,0.679647267,-0.026441336,0.144037706,0.092146208,0.325120146,2,4
4608,4608,0.227021861,0.083153031,-0.051594195,0.025551381,0.071499715,-0.108353718,0.166362474,0.078291827,-0.065339107,0.172684307,0.042287739,-0.184168094,0.183423296,-0.252000305,-0.042182158,-0.225440107,0.097810484,0.234440773,-0.061721926,-0.175663513,-0.006575425,0.036931677,0.060403369,0.237007634,0.025263686,-0.280802197,-0.095083027,0.090714488,-0.127165775,-0.205419018,-0.081521272,-0.079241023,-0.163165077,-0.07091579,0.288298261,-0.051071322,0.200799533,0.119842856,0.152299804,0.169813178,-0.05322119,-0.048990279,0.000721426,-0.057437921,-0.211694997,-0.068411037,0.285377322,0.276107096,0.260133107,0.118912479,2,4
4609,4609,0.004635949,-0.024490497,0.14134468,0.159893567,-0.006710896,0.140126811,-0.158974689,0.135294858,0.517397828,0.107279449,-0.259322356,-0.223016531,0.162010137,0.058834579,0.32126582,0.005854679,0.034362768,0.521225179,-0.253739857,-0.290728477,-0.433726297,-0.578383088,-0.088600556,0.420260801,-0.250619408,-0.146278681,-0.029518937,-0.244335851,-0.085195031,0.152277517,-0.102555336,0.41701163,0.356441808,0.348672061,0.315755082,-0.028287048,-0.099902646,0.179696621,0.153725567,-0.140903834,-0.170347906,-0.515004817,-0.254697759,-0.041725547,0.019222247,0.18796431,-0.117425337,0.132564372,-0.411015514,-0.268500941,2,4
