_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publisher,ltable_Time,rtable_Title,rtable_Author,rtable_Publisher,rtable_Time
14993,2374,2780,Der Mut Zum Sein (German Edition),Paul Tillich,De Gruyter,11/1/1991,Der Mut Zum Sein (German Edition),Paul Tillich,De Gruyter,11/1/1991
14994,2374,2829,Der Mut Zum Sein (German Edition),Paul Tillich,De Gruyter,11/1/1991,Der Mut Zum Sein (German Edition),Paul Tillich,De Gruyter,11/1/1991
14995,2397,2769,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",Kerry Patterson,McGraw-Hill Education; 2 edition,9/9/2011,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",Kerry Patterson,McGraw-Hill Education; 2 edition,9/9/2011
14997,2415,82,Get Over Your Damn Self: The No-BS Blueprint to Building a Life-Changing Business,Romi Neustadt,LiveFullOut Media,9/1/2016,Get Over Your Damn Self: The No-BS Blueprint to Building A Life-Changing Business,Romi Neustadt,LiveFullOut Media,9/1/2016
15011,2437,361,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,"HarperCollins; Updated, Subsequent edition",10/14/2004,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,HarperCollins Publishers,10/14/2004
15029,2466,366,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,Currency; 1 edition,9/13/2011,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,The Crown Publishing Group,9/13/2011
15031,2481,128,Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,Wiley; 1 edition,11/2/2015,Storytelling with Data: A Data Visualization Guide for Business Professionals / Edition 1,Cole Nussbaumer Knaflic,Wiley,11/2/2015
15041,2557,115,Business Boutique: A Woman's Guide for Making Money Doing What She Loves,Christy Wright,Ramsey Press,4/17/2017,Business Boutique: A Woman's Guide for Making Money Doing What She Loves,Christy Wright,Ramsey Press,4/17/2017
15054,2588,106,Setting the Table: The Transforming Power of Hospitality in Business,Danny Meyer,Harper Perennial; Reprint edition,1/29/2008,Setting the Table: The Transforming Power of Hospitality in Business,Danny Meyer,HarperCollins Publishers,1/29/2008
15057,2606,229,The Bogleheads' Guide to Investing,Taylor Larimore,Wiley; 2 edition,8/18/2014,The Bogleheads' Guide to Investing,Taylor Larimore,Wiley; 2 edition,8/18/2014
