ID,Publisher,Time,Author,Title
3218,Scribner,05/28/1995,Ernest Hemingway,The Old Man and the Sea
3219,Penguin Publishing Group,09/28/1993,John Steinbeck,Of Mice and Men
3220,Barnes & Noble,05/01/2003,Herman Melville,Moby-Dick (Barnes & Noble Classics Series)
3221,"Grove/Atlantic, Inc.",04/12/2016,Viet Thanh Nguyen,The Sympathizer
3222,Penguin Publishing Group,03/28/2006,John Steinbeck,The Grapes of Wrath
3223,Barnes & Noble,03/01/2008,Mark Twain,Adventures of Huckleberry Finn (Barnes & Noble Classics Series)
3224,Knopf Doubleday Publishing Group,03/01/1989,Vladimir Nabokov,Lolita
3225,HarperCollins Publishers,01/18/2005,Betty Smith,A Tree Grows in Brooklyn
3226,Penguin Publishing Group,11/25/2008,Khaled Hosseini,A Thousand Splendid Suns
3227,HarperCollins Publishers,05/02/2017,Ann Patchett,Commonwealth
3228,"Little, Brown and Company",11/06/2012,Eowyn Ivey,The Snow Child
3229,"Little, Brown and Company",07/18/2017,Andrew Sean Greer,Less
3230,Bloomsbury USA,04/24/2012,Jesmyn Ward,Salvage the Bones
3231,Penguin Publishing Group,10/28/1992,John Steinbeck,East of Eden
3232,Simon & Schuster,04/05/2011,Joseph Heller,Catch-22
3233,Knopf Doubleday Publishing Group,01/28/1984,Sandra Cisneros,The House on Mango Street
3234,Knopf Doubleday Publishing Group,01/26/2016,Hanya Yanagihara,A Little Life
3235,Barnes & Noble,03/01/2004,Louisa May Alcott,Little Women (Barnes & Noble Classics Series)
3236,Knopf Doubleday Publishing Group,03/28/2000,Mark Z. Danielewski,House of Leaves
3237,"Little, Brown and Company",04/07/2015,Donna Tartt,The Goldfinch
3238,Barnes & Noble,12/25/2004,Nathaniel Hawthorne,The Scarlet Letter (Barnes & Noble Classics Series)
3239,Knopf Doubleday Publishing Group,03/28/2007,Cormac McCarthy,The Road
3240,Lushena Books,06/08/2017,Sam Greenlee,The Spook Who Sat By The Door
3241,Houghton Mifflin Harcourt,05/28/2003,Alice Walker,The Color Purple
3242,HarperCollins Publishers,06/11/2013,Sylvia Plath,The Bell Jar (P.S. Series)
3243,Penguin Publishing Group,08/29/2017,Gabriel Tallent,My Absolute Darling
3244,Barnes & Noble,04/03/2015,Mark Twain,The Adventures of Huckleberry Finn (Barnes & Noble Collectible Editions)
3245,Houghton Mifflin Harcourt,10/03/2017,Meg Wolitzer,The Best American Short Stories 2017
3246,Penguin Publishing Group,02/21/1963,Ken Kesey,One Flew Over the Cuckoo's Nest
